inOutVar,largetxsVar,addressesNetGrowth,concentrationVar
on_chain,on_chain,on_chain,on_chain
bearish,bearish,bearish,neutral
-0.019873025631839084,-0.007920297436314323,0.004797441662347974,0.0001690063973837758
0.029659323569963807,0,0.23269757786939,0.542251599345944
0.25,0.25,0.25,0.25
0.75,0.75,0.75,0.75
